enzyme	complex	complex_keff	compartment	reactions	direction
enzyme_NTDAMP_fwd	cplx_HOMOTETRAMER_NT5C2	438656.35858465673	pc	NTDAMP	amp_c + h2o_c --> adn_c + pi_c
enzyme_NTDAMP_rev	cplx_HOMOTETRAMER_NT5C2	0	pc	NTDAMP	amp_c + h2o_c <-- adn_c + pi_c
enzyme_NTDAMPe_fwd	cplx_HOMODIMER_ALPL	237400.08697146625	pc	NTDAMPe	amp_e + h2o_e --> adn_e + pi_e
enzyme_NTDAMPe_rev	cplx_HOMODIMER_ALPL	0	pc	NTDAMPe	amp_e + h2o_e <-- adn_e + pi_e
enzyme_NTDCMP_fwd	cplx_MONOMER_NT5C3A	95243.27706764388	pc	NTDCMP	cmp_c + h2o_c --> cytd_c + pi_c
enzyme_NTDCMP_rev	cplx_MONOMER_NT5C3A	0	pc	NTDCMP	cmp_c + h2o_c <-- cytd_c + pi_c
enzyme_NTDDAMP_fwd	cplx_HOMODIMER_HDDC2	121211.06794275234	pc	NTDDAMP	damp_c + h2o_c --> 2dadn_c + pi_c
enzyme_NTDDAMP_fwd	cplx_HOMODIMER_NT5C	121204.48534555783	pc	NTDDAMP	damp_c + h2o_c --> 2dadn_c + pi_c
enzyme_NTDDAMP_rev	cplx_HOMODIMER_HDDC2	0	pc	NTDDAMP	damp_c + h2o_c <-- 2dadn_c + pi_c
enzyme_NTDDAMP_rev	cplx_HOMODIMER_NT5C	0	pc	NTDDAMP	damp_c + h2o_c <-- 2dadn_c + pi_c
enzyme_NTDDCMP_fwd	cplx_HOMODIMER_HDDC2	121211.06794275234	pc	NTDDCMP	dcmp_c + h2o_c --> 2dcytd_c + pi_c
enzyme_NTDDCMP_fwd	cplx_MONOMER_NT5C3A	95243.27706764388	pc	NTDDCMP	dcmp_c + h2o_c --> 2dcytd_c + pi_c
enzyme_NTDDCMP_rev	cplx_HOMODIMER_HDDC2	0	pc	NTDDCMP	dcmp_c + h2o_c <-- 2dcytd_c + pi_c
enzyme_NTDDCMP_rev	cplx_MONOMER_NT5C3A	0	pc	NTDDCMP	dcmp_c + h2o_c <-- 2dcytd_c + pi_c
enzyme_NTDDGMP_fwd	cplx_HOMODIMER_HDDC2	121211.06794275234	pc	NTDDGMP	dgmp_c + h2o_c --> 2dgsn_c + pi_c
enzyme_NTDDGMP_fwd	cplx_HOMODIMER_NT5C	121204.48534555783	pc	NTDDGMP	dgmp_c + h2o_c --> 2dgsn_c + pi_c
enzyme_NTDDGMP_fwd	cplx_HOMOTETRAMER_NT5C2	438656.35858465673	pc	NTDDGMP	dgmp_c + h2o_c --> 2dgsn_c + pi_c
enzyme_NTDDGMP_rev	cplx_HOMODIMER_HDDC2	0	pc	NTDDGMP	dgmp_c + h2o_c <-- 2dgsn_c + pi_c
enzyme_NTDDGMP_rev	cplx_HOMODIMER_NT5C	0	pc	NTDDGMP	dgmp_c + h2o_c <-- 2dgsn_c + pi_c
enzyme_NTDDGMP_rev	cplx_HOMOTETRAMER_NT5C2	0	pc	NTDDGMP	dgmp_c + h2o_c <-- 2dgsn_c + pi_c
