	genes	ec-code	uniprot	class	class.description	subclass	subclass.description	subsubclass	subsubclass.description	ec-code.description	alternate	catalytic activity	comments
663	SOD1	1.15.1.1	P00441	1.-.-.-	Oxidoreductases	1.15.-.-	Acting on superoxide as acceptor	1.15.1.-	Acting on superoxide as acceptor	superoxide dismutase		2 H(+) + 2 superoxide = H2O2 + O2	
664	SORD	1.1.1.14	Q00796	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	L-iditol 2-dehydrogenase	glucitol dehydrogenase;polyol dehydrogenase;sorbitol dehydrogenase	L-iditol + NAD(+) = H(+) + keto-L-sorbose + NADH	-!- This enzyme is widely distributed and has been described in archaea,;    bacteria, yeast, plants and animals;-!- It acts on a number of sugar alcohols, including (but not limited to);    L-iditol, D-glucitol, D-xylitol, and D-galactitol;-!- Enzymes from different organisms or tissues display different;    substrate specificity;-!- The enzyme is specific to NAD(+) and can not use NADP(+)
665	SORD	1.1.1.4	Q00796	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	(R,R)-butanediol dehydrogenase	(R)-2,3-butanediol dehydrogenase;(R)-diacetyl reductase;1-amino-2-propanol dehydrogenase;1-amino-2-propanol oxidoreductase;2,3-butanediol dehydrogenase;aminopropanol oxidoreductase;butyleneglycol dehydrogenase;butylene glycol dehydrogenase;D-(-)-butanediol dehydrogenase;D-1-amino-2-propanol:NAD(2) oxidoreductase;D-1-amino-2-propanol dehydrogenase;D-aminopropanol dehydrogenase;D-butanediol dehydrogenase;diacetyl (acetoin) reductase	(R,R)-butane-2,3-diol + NAD(+) = (R)-acetoin + H(+) + NADH	-!- Also converts diacetyl into acetoin with NADH as reductant
666	SORD	1.1.1.56	Q00796	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	ribitol 2-dehydrogenase		NAD(+) + ribitol = D-ribulose + H(+) + NADH	
667	SORD	1.1.1.9	Q00796	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	D-xylulose reductase	xylitol dehydrogenase	NAD(+) + xylitol = D-xylulose + H(+) + NADH	-!- Also acts as an L-erythrulose reductase
668	SPHK1	2.7.1.91	Q9NYA1	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.1.-	Phosphotransferases with an alcohol group as acceptor	sphingosine kinase	dihydrosphingosine kinase;sphinganine kinase;sphingoid base kinase	a sphingoid base + ATP = a sphingoid 1-phosphate + ADP + H(+)	-!- The enzyme is involved in the production of sphingolipid metabolites;-!- It phosphorylates various sphingoid long-chain bases, such as;    sphingosine, D-erythro-dihydrosphingosine (sphinganine),;    phytosphingosine (4-hydroxysphinganine), 4-hydroxy-8-sphingenine,;    4,8-sphingadienine and D-threo-dihydrosphingosine and L-threo-;    dihydrosphingosine;-!- The exact substrate range depends on the species
669	SPTLC1	2.3.1.50	O15269	2.-.-.-	Transferases	2.3.-.-	Acyltransferases	2.3.1.-	Transferring groups other than amino-acyl groups	serine C-palmitoyltransferase		H(+) + hexadecanoyl-CoA + L-serine = 3-oxosphinganine + CO2 + CoA	
670	SPTLC2	2.3.1.50	O15270	2.-.-.-	Transferases	2.3.-.-	Acyltransferases	2.3.1.-	Transferring groups other than amino-acyl groups	serine C-palmitoyltransferase		H(+) + hexadecanoyl-CoA + L-serine = 3-oxosphinganine + CO2 + CoA	
671	SRM	2.5.1.16	P19623	2.-.-.-	Transferases	2.5.-.-	Transferring alkyl or aryl groups, other than methyl groups	2.5.1.-	Transferring alkyl or aryl groups, other than methyl groups	spermidine synthase	aminopropyltransferase;putrescine aminopropyltransferase	putrescine + S-adenosyl 3-(methylsulfanyl)propylamine = H(+) + S-methyl-;5'-thioadenosine + spermidine	-!- The enzymes from the plant Glycine max and from mammalia are highly;    specific for putrescine as the amine acceptor;-!- The enzymes from the bacteria Escherichia coli and Thermotoga;    maritima prefer putrescine but are more tolerant toward other amine;    acceptors, such as spermidine and cadaverine. cf. EC 2.5.1.22 and;    EC 2.5.1.23
672	SRXN1	1.8.98.2	Q9BYN0	1.-.-.-	Oxidoreductases	1.8.-.-	Acting on a sulfur group of donors	1.8.98.-	With other, known, acceptors	sulfiredoxin	peroxiredoxin-(S-hydroxy-S-oxocysteine) reductase	[protein]-dithiol + ATP + S-hydroxy-S-oxy-L-cysteinyl-[peroxiredoxin] =;[protein]-disulfide + ADP + phosphate + S-hydroxy-L-cysteinyl-;[peroxiredoxin]	-!- In the course of the reaction of EC 1.11.1.15, its cysteine residue;    is alternately oxidized to the sulfenic acid, S-hydroxycysteine,;    and reduced back to cysteine;-!- Occasionally the S-hydroxycysteine residue is further oxidized to the;    sulfinic acid S-hydroxy-S-oxocysteine, thereby inactivating the;    enzyme;-!- The reductase provides a mechanism for regenerating the active form;    of peroxiredoxin, i.e. the peroxiredoxin-(S-hydroxycysteine) form;-!- Apparently the reductase first catalyzes the phosphorylation of the;    -S(O)-OH group by ATP to give -S(O)-O-P, which is attached to the;    peroxiredoxin by a cysteine residue, forming an -S(O)-S- link between;    the two enzymes;-!- Attack by a thiol splits this bond, leaving the peroxiredoxin as the;    sulfenic acid and the reductase as the thiol
673	STK11	2.7.11.1	Q15831	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.11.-	Protein-serine/threonine kinases	non-specific serine/threonine protein kinase	protein phosphokinase;protein serine kinase;protein-serine kinase;protein serine-threonine kinase;serine/threonine protein kinase;serine(threonine) protein kinase;serine kinase;serine protein kinase;serine-specific protein kinase;threonine-specific protein kinase	(1) ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein];(2) ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-;[protein]	-!- This is a heterogeneous group of serine/threonine protein kinases;    that do not have an activating compound and are either non-specific;    or their specificity has not been analyzed to date;-!- Formerly EC 2.7.1.37 and EC 2.7.1.70
674	SYK	2.7.10.2	P43405	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.10.-	Protein-tyrosine kinases	non-specific protein-tyrosine kinase	cytoplasmic protein tyrosine kinase	ATP + L-tyrosyl-[protein] = ADP + H(+) + O-phospho-L-tyrosyl-[protein]	-!- Unlike EC 2.7.10.1, this protein-tyrosine kinase does not have a;    transmembrane domain;-!- In the human genome, 32 non-specific protein-tyrosine kinases have;    been identified and these can be divided into 10 families;-!- Formerly EC 2.7.1.112
675	SYNJ1	3.1.3.36	O43426	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.3.-	Phosphoric monoester hydrolases	phosphoinositide 5-phosphatase	diphosphoinositide phosphatase;inositol 1,4,5-triphosphate 5-phosphomonoesterase;inositol triphosphate 5-phosphomonoesterase;IP3 phosphatase;phosphatidylinositol 4,5-bisphosphate phosphatase;phosphatidylinositol-bisphosphatase;phosphatidyl-inositol-bisphosphate phosphatase;phosphatidyl-myo-inositol-4,5-bisphosphate phosphatase;polyphosphoinositol lipid 5-phosphatase;PtdIns(4,5)P2 phosphatase;triphosphoinositide phosphatase;triphosphoinositide phosphomonoesterase;type II inositol-1,4,5-trisphosphate 5-phosphatase;type II inositol polyphosphate 5-phosphatase	a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-4,5-bisphosphate) +;H2O = a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol 4-phosphate) +;phosphate	-!- These enzymes can also remove the 5-phosphate from Ins(1,4,5)P3;    and/or Ins(1,3,4,5)P4;-!- They are a diverse family of enzymes, with differing abilities to;    catalyze two or more of the four reactions listed;-!- They are thought to use inositol lipids rather than inositol;    phosphates as substrates in vivo;-!- All of them can use either or both of PtdIns(4,5)P2 and;    PtdIns(3,4,5)P3 as substrates; this is the main property that;    distinguishes them from EC 3.1.3.56
676	TALDO1	2.2.1.2	P37837	2.-.-.-	Transferases	2.2.-.-	Transferring aldehyde or ketonic groups	2.2.1.-	Transketolases and transaldolases	transaldolase	dihydroxyacetone transferase;glycerone transferase	D-glyceraldehyde 3-phosphate + D-sedoheptulose 7-phosphate = beta-D-;fructose 6-phosphate + D-erythrose 4-phosphate	
677	TARS1	6.1.1.3	P26639	6.-.-.-	Ligases	6.1.-.-	Forming carbon-oxygen bonds	6.1.1.-	Ligases forming aminoacyl-tRNA and related compounds	threonine--tRNA ligase	threonine translase;threonyl-tRNA synthetase	ATP + L-threonine + tRNA(Thr) = AMP + diphosphate + H(+) + L-threonyl-;tRNA(Thr)	
678	TECR	1.3.1.93	Q9NZ01	1.-.-.-	Oxidoreductases	1.3.-.-	Acting on the CH-CH group of donors	1.3.1.-	With NAD(+) or NADP(+) as acceptor	very-long-chain enoyl-CoA reductase		a very-long-chain 2,3-saturated fatty acyl-CoA + NADP(+) = a very-long-;chain (2E)-enoyl-CoA + H(+) + NADPH	-!- This is the fourth component of the elongase, a microsomal protein;    complex responsible for extending palmitoyl-CoA and stearoyl-CoA (and;    modified forms thereof) to very-long-chain acyl CoAs. cf;    EC 2.3.1.199, EC 1.1.1.330 and EC 4.2.1.134;-!- Formerly EC 2.3.1.119
679	TGM2	2.3.2.13	P21980	2.-.-.-	Transferases	2.3.-.-	Acyltransferases	2.3.2.-	Aminoacyltransferases	protein-glutamine gamma-glutamyltransferase	fibrinoligase;glutaminylpeptide gamma-glutamyltransferase;polyamine transglutaminase;TGase;transglutaminase	L-glutaminyl-[protein] + L-lysyl-[protein] = [protein]-L-lysyl-N(6)-5-;L-glutamyl-[protein] + NH4(+)	-!- The gamma-carboxymide groups of peptide-bound glutamine residues act;    as acyl donors, and the 6-amino-groups of protein- and peptide-bound;    lysine residues act as acceptors, to give intra- and inter-molecular;    N(6)-(5-glutamyl)lysine cross-links
680	TGM2	3.5.1.44	P21980	3.-.-.-	Hydrolases	3.5.-.-	Acting on carbon-nitrogen bonds, other than peptide bonds	3.5.1.-	In linear amides	protein-glutamine glutaminase	Glutaminylpeptide glutaminase;peptidoglutaminase II	H2O + L-glutaminyl-[protein] = L-glutamyl-[protein] + NH4(+)	-!- Specific for the hydrolysis of the gamma-amide of glutamine;    substituted at the carboxyl position or both the alpha-amino and;    carboxyl positions, e.g., L-glutaminylglycine and L-phenylalanyl-L-;    glutaminylglycine
681	TGM3	2.3.2.13	Q08188	2.-.-.-	Transferases	2.3.-.-	Acyltransferases	2.3.2.-	Aminoacyltransferases	protein-glutamine gamma-glutamyltransferase	fibrinoligase;glutaminylpeptide gamma-glutamyltransferase;polyamine transglutaminase;TGase;transglutaminase	L-glutaminyl-[protein] + L-lysyl-[protein] = [protein]-L-lysyl-N(6)-5-;L-glutamyl-[protein] + NH4(+)	-!- The gamma-carboxymide groups of peptide-bound glutamine residues act;    as acyl donors, and the 6-amino-groups of protein- and peptide-bound;    lysine residues act as acceptors, to give intra- and inter-molecular;    N(6)-(5-glutamyl)lysine cross-links
682	THOP1	3.4.24.15	P52888	3.-.-.-	Hydrolases	3.4.-.-	Acting on peptide bonds (peptidases)	3.4.24.-	Metalloendopeptidases	thimet oligopeptidase	endo-oligopeptidase A;endopeptidase 24.15;Pz-peptidase;soluble metalloendopeptidase	Preferential cleavage of bonds with hydrophobic residues at P1, P2 and;P3' and a small residue at P1' in substrates of 5 to 15 residues	-!- Thiol compounds activate at low concentrations;-!- Belongs to peptidase family M3;-!- Formerly EC 3.4.22.19 and EC 3.4.99.31
683	THTPA	3.6.1.28	Q9BU02	3.-.-.-	Hydrolases	3.6.-.-	Acting on acid anhydrides	3.6.1.-	In phosphorus-containing anhydrides	thiamine-triphosphatase	ThTPase	H2O + thiamine triphosphate = H(+) + phosphate + thiamine diphosphate	
684	TKFC	2.7.1.28	Q3LXA3	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.1.-	Phosphotransferases with an alcohol group as acceptor	triokinase	triose kinase	ATP + D-glyceraldehyde = ADP + D-glyceraldehyde 3-phosphate + H(+)	
685	TKFC	2.7.1.29	Q3LXA3	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.1.-	Phosphotransferases with an alcohol group as acceptor	glycerone kinase	dihydroxyacetone kinase	ATP + dihydroxyacetone = ADP + dihydroxyacetone phosphate + H(+)	
686	TKFC	4.6.1.15	Q3LXA3	4.-.-.-	Lyases	4.6.-.-	Phosphorus-oxygen lyases	4.6.1.-	Phosphorus-oxygen lyases	FAD-AMP lyase (cyclizing)	FMN cyclase	FAD = AMP + H(+) + riboflavin cyclic-4',5'-phosphate	-!- While FAD was the best substrate tested the enzyme also splits;    ribonucleoside diphosphate-X compounds in which X is an acyclic or;    cyclic monosaccharide or derivative bearing an X-OH group that is;    able to attack internally the proximal phosphorus with the geometry;    necessary to form a P=X product; either a five-atom monocyclic;    phosphodiester or a cis-bicyclic phosphodiester-pyranose fusion;-!- The reaction is strongly inhibited by ADP or ATP but is unaffected by;    the presence of the product, cFMN
687	TKT	2.2.1.1	P29401	2.-.-.-	Transferases	2.2.-.-	Transferring aldehyde or ketonic groups	2.2.1.-	Transketolases and transaldolases	transketolase	glycoaldehyde transferase	D-glyceraldehyde 3-phosphate + D-sedoheptulose 7-phosphate = aldehydo-D-;ribose 5-phosphate + D-xylulose 5-phosphate	-!- Wide specificity for both reactants, e.g. converts hydroxypyruvate;    and R-CHO into CO2 and R-CHOH-CO-CH2OH;-!- The enzyme from the bacterium Alcaligenes faecalis shows high;    activity with D-erythrose 4-phosphate as acceptor
688	TMT1A	2.1.1.348	Q9H8H3	2.-.-.-	Transferases	2.1.-.-	Transferring one-carbon groups	2.1.1.-	Methyltransferases	mRNA m(6)A methyltransferase		an adenosine in mRNA + S-adenosyl-L-methionine = an N(6)-methyladenosine;in mRNA + H(+) + S-adenosyl-L-homocysteine	-!- This enzyme, found in eukaryotes, methylates adenines in mRNA with;    the consensus sequence RRACH
689	TMT1A	2.1.1.9	Q9H8H3	2.-.-.-	Transferases	2.1.-.-	Transferring one-carbon groups	2.1.1.-	Methyltransferases	thiol S-methyltransferase		a thiol + S-adenosyl-L-methionine = a methyl thioether + H(+) +;S-adenosyl-L-homocysteine	-!- H2S and a variety of alkyl, aryl and heterocyclic thiols and hydroxy;    thiols can act as acceptors
690	TPI1	4.2.3.3	P60174	4.-.-.-	Lyases	4.2.-.-	Carbon-oxygen lyases	4.2.3.-	Acting on phosphates	methylglyoxal synthase		dihydroxyacetone phosphate = methylglyoxal + phosphate	-!- Does not act on D-glyceraldehyde 3-phosphate;-!- Formerly EC 4.2.99.11
691	TPI1	5.3.1.1	P60174	5.-.-.-	Isomerases	5.3.-.-	Intramolecular oxidoreductases	5.3.1.-	Interconverting aldoses and ketoses	triose-phosphate isomerase	phosphotriose isomerase;triosephosphate isomerase;triosephosphate mutase;triose phosphoisomerase	D-glyceraldehyde 3-phosphate = dihydroxyacetone phosphate	
692	TPK1	2.7.6.2	Q9H3S4	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.6.-	Diphosphotransferases	thiamine diphosphokinase	Thiamine kinase;thiamine pyrophosphokinase	ATP + thiamine = AMP + H(+) + thiamine diphosphate	
693	TPMT	2.1.1.67	P51580	2.-.-.-	Transferases	2.1.-.-	Transferring one-carbon groups	2.1.1.-	Methyltransferases	thiopurine S-methyltransferase		S-adenosyl-L-methionine + a thiopurine = S-adenosyl-L-homocysteine +;a thiopurine S-methylether	-!- Also acts, more slowly, on thiopyrimidines and aromatic thiols;-!- Not identical with EC 2.1.1.9
694	TXNDC5	5.3.4.1	Q8NBS9	5.-.-.-	Isomerases	5.3.-.-	Intramolecular oxidoreductases	5.3.4.-	Transposing S-S bonds	protein disulfide-isomerase	S-S rearrangase	Catalyzes the rearrangement of -S-S- bonds in proteins	-!- Needs reducing agents or partly reduced enzyme; the reaction depends;    on sulfhydryl-disulfide interchange
695	TXNRD1	1.11.1.2	Q16881	1.-.-.-	Oxidoreductases	1.11.-.-	Acting on a peroxide as acceptor	1.11.1.-	Peroxidases	NADPH peroxidase		H(+) + H2O2 + NADPH = 2 H2O + NADP(+)	
696	TXNRD1	1.8.1.9	Q16881	1.-.-.-	Oxidoreductases	1.8.-.-	Acting on a sulfur group of donors	1.8.1.-	With NAD(+) or NADP(+) as acceptor	thioredoxin-disulfide reductase	NADPH:oxidized thioredoxin oxidoreductase;NADPH--thioredoxin reductase;NADP--thioredoxin reductase;thioredoxin reductase (NADPH)	[thioredoxin]-dithiol + NADP(+) = [thioredoxin]-disulfide + H(+) + NADPH	-!- May be identical to EC 1.8.1.10;-!- Formerly EC 1.6.4.5
697	UBA1	6.2.1.45	P22314	6.-.-.-	Ligases	6.2.-.-	Forming carbon-sulfur bonds	6.2.1.-	Acid--thiol ligases	E1 ubiquitin-activating enzyme	ubiquitin-activating enzyme E1	ATP + ubiquitin + [E1 ubiquitin-activating enzyme]-L-cysteine = AMP +;diphosphate + S-ubiquitinyl-[E1 ubiquitin-activating enzyme]-L-cysteine	-!- Catalyzes the ATP-dependent activation of ubiquitin through the;    formation of a thioester bond between the C-terminal glycine of;    ubiquitin and the sulfhydryl side group of a cysteine residue in the;    E1 protein;-!- The two-step reaction consists of the ATP-dependent formation of an;    E1-ubiquitin adenylate intermediate in which the C-terminal glycine;    of ubiquitin is bound to AMP via an acyl-phosphate linkage, then;    followed by the conversion to an E1-ubiquitin thioester bond via the;    cysteine residue on E1 in the second step;-!- Formerly EC 6.3.2.19 and EC 6.3.2.21
698	UBA6	6.2.1.45	A0AVT1	6.-.-.-	Ligases	6.2.-.-	Forming carbon-sulfur bonds	6.2.1.-	Acid--thiol ligases	E1 ubiquitin-activating enzyme	ubiquitin-activating enzyme E1	ATP + ubiquitin + [E1 ubiquitin-activating enzyme]-L-cysteine = AMP +;diphosphate + S-ubiquitinyl-[E1 ubiquitin-activating enzyme]-L-cysteine	-!- Catalyzes the ATP-dependent activation of ubiquitin through the;    formation of a thioester bond between the C-terminal glycine of;    ubiquitin and the sulfhydryl side group of a cysteine residue in the;    E1 protein;-!- The two-step reaction consists of the ATP-dependent formation of an;    E1-ubiquitin adenylate intermediate in which the C-terminal glycine;    of ubiquitin is bound to AMP via an acyl-phosphate linkage, then;    followed by the conversion to an E1-ubiquitin thioester bond via the;    cysteine residue on E1 in the second step;-!- Formerly EC 6.3.2.19 and EC 6.3.2.21
